215 7168 Stride Avenue	"$750,000"	2	2	Built in 2013 (7 yrs old)	"$2,556"	$207	Burnaby East	Edmonds	Townhouse	Freehold Strata	2 Storey	R2486993	Sylvie Zhao PREC*	RE/MAX Crest Realty	136 Days on REW	Washer/Dryer/Fridge/Stove/Dishwasher	"Bike Room, In Suite Laundry, Playground, Storage"	1									
18 7503 18th Street	"$649,000"	2	2	Built in 2005 (15 yrs old)	"$2,520"	$213	Burnaby East	Edmonds	Townhouse	Freehold Strata	2 Storey	R2485170	James Tan PREC*	Pacific Evergreen Realty Ltd.	Gloria Si Tu	Pacific Evergreen Realty Ltd.	140 Days on REW	"Drapes/window Coverings, Garage Door Opener, Smoke Alarm"	"Central Location, Golf Course Nearby, Recreation Nearby, Shopping Nearby"	Washer/Dryer/Fridge/Stove/Dishwasher	"Bike Room, In Suite Laundry, Storage"	1					
3301 7090 Edmonds Street	"$898,000"	3	2	Built in 2011 (9 yrs old)	"$3,391"	$393	Burnaby East	Edmonds	Apt/Condo	Freehold Strata	1 Storey	R2480364	Sandra Li PREC*	LeHomes Realty	Serena Hou	LeHomes Realty	152 Days on REW	"Club House, Indoor Pool, Recreation Center, Storage"	1								
2303 7388 Kingsway	"$595,000"	1	1	Built in 2020 (0 yrs old)	$0	$266	Burnaby East	Edmonds	Apt/Condo	Freehold Strata	Upper Unit	R2473375	Wendy Tan PREC*	Nu Stream Realty Inc.	Peter Zha	Nu Stream Realty Inc.	173 Days on REW	"Bike Room, Central Airconditioning, Elevator, Exercise Centre, In Suite Laundry, Playground"	Yes								
124 7088 14th Avenue	"$599,000"	2	2	Built in 2015 (5 yrs old)	"$1,852"	$272	Burnaby East	Edmonds	Apt/Condo	Freehold Strata	Ground Level Unit	R2524895	Rose Au	Sutton Group - 1st West Realty	5 Days on REW	"Central Location, Recreation Nearby, Shopping Nearby"	Washer/Dryer/Fridge/Stove/Dishwasher	"Bike Room, Exercise Centre, In Suite Laundry"									
15 7458 Britton Street	"$858,800"	3	3	Built in 2015 (5 yrs old)	"$2,665"	$275	Burnaby East	Edmonds	Townhouse	Freehold Strata	"3 Storey,Inside Unit"	R2524376	Fred Zhang PREC*	RE/MAX Crest Realty	10 Days on REW	"Drapes/window Coverings, Security - Roughed In"	"Central Location, Recreation Nearby, Shopping Nearby"	"Disposal - Waste, Microwave, Washer/Dryer/Fridge/Stove/Dishwasher"	"In Suite Laundry, Storage"								
203 7168 Stride Avenue	"$719,900"	2	2	Built in 2013 (7 yrs old)	"$2,017"	$212	Burnaby East	Edmonds	Townhouse	Freehold Strata	2 Storey	R2522834	Wilson Yang	Royal Pacific Realty (Kingsway) Ltd.	19 Days on REW	"Garage Door Opener, Smoke Alarm"	Washer/Dryer/Fridge/Stove/Dishwasher	"Bike Room, In Suite Laundry, Playground, Storage"	1								
1503 2355 Madison Avenue	"$689,000"	2	2	Built in 2007 (13 yrs old)	"$2,082"	$415	Burnaby North	Brentwood Park	Apt/Condo	Freehold Strata	"1 Storey,Corner Unit"	R2520824	Brandon Gee-Moore PREC*	RE/MAX Crest Realty	28 Days on REW	Cul-de-Sac	"Central Location, Recreation Nearby, Shopping Nearby"	Washer/Dryer/Fridge/Stove/Dishwasher	"Club House, Elevator, Exercise Centre, In Suite Laundry, Indoor Pool, Sauna/Steam Room"	1							
1901 2351 Beta Avenue	"$829,999"	2	2	Built in 2020 (0 yrs old)	$0	$291	Burnaby North	Brentwood Park	Apt/Condo	Freehold Strata	"Corner Unit,Upper Unit"	R2525047	Tracy Niu PREC*	Nu Stream Realty Inc.	4 Days on REW	"Air Conditioning, Central Location, Shopping Nearby, Treed"	Washer/Dryer/Fridge/Stove/Dishwasher	"Central Airconditioning, Elevator, In Suite Laundry, Storage"	Yes								
2904 2311 Beta Avenue	"$739,900"	2	1	Built in 2020 (0 yrs old)	$0	$238	Burnaby North	Brentwood Park	Apt/Condo	Freehold Strata	1 Storey	R2525048	Daniel Hui	Royal Pacific Tri-Cities Realty	4 Days on REW	"Smoke Alarm, Sprinkler - Fire"	"Central Location, Recreation Nearby, Shopping Nearby"	Washer/Dryer/Fridge/Stove/Dishwasher	"Central Airconditioning, Concierge, Exercise Centre, In Suite Laundry"	Yes							
1002 2311 Beta Avenue	"$589,000"	1	1	Built in 2020 (0 yrs old)	$0	$206	Burnaby North	Brentwood Park	Apt/Condo	Freehold Strata	Upper Unit	R2524718	Tracy Niu PREC*	Nu Stream Realty Inc.	6 Days on REW	"Garage Door Opener, Sprinkler - Fire"	"Air Conditioning, Central Location, Recreation Nearby, Shopping Nearby"	"Dishwasher, Microwave, Washer/Dryer/Fridge/Stove/Dishwasher"	"Elevator, In Suite Laundry"	Yes							
1002 2232 Douglas Road	"$569,000"	1	1	Built in 2011 (9 yrs old)	"$1,467"	$295	Burnaby North	Brentwood Park	Apt/Condo	Freehold Strata	1 Storey	R2524179	Tracy Niu PREC*	Nu Stream Realty Inc.	9 Days on REW	"Drapes/window Coverings, Garage Door Opener, Security - Roughed In, Smoke Alarm"	"Central Location, Recreation Nearby, Shopping Nearby"	Washer/Dryer/Fridge/Stove/Dishwasher	"Bike Room, Club House, Elevator, Exercise Centre, Guest Suite, Playground"								
2101 4189 Halifax Street	"$799,000"	2	2	Built in 2015 (5 yrs old)	"$2,367"	$394	Burnaby North	Brentwood Park	Apt/Condo	Freehold Strata	Upper Unit	R2523834	Jayson Pingol	Sutton Premier Realty	12 Days on REW	Drapes/window Coverings	"Central Location, Recreation Nearby, Shopping Nearby"	"Microwave, Washer/Dryer/Fridge/Stove/Dishwasher"	"Bike Room, Club House, Elevator, Garden, In Suite Laundry, Storage"	1							
1001 2345 Madison Avenue	"$678,888"	2	2	Built in 2007 (13 yrs old)	"$1,958"	$331	Burnaby North	Brentwood Park	Apt/Condo	Freehold Strata	Corner Unit	R2523883	Jim Chen PREC*	YVR International Realty	Nina Zhang	YVR International Realty	13 Days on REW	"Drapes/window Coverings, Fireplace Insert, Smoke Alarm, Sprinkler - Fire"	"Central Location, Recreation Nearby, Shopping Nearby"	"Disposal - Waste, Washer/Dryer/Fridge/Stove/Dishwasher"	"Elevator, Exercise Centre, In Suite Laundry, Sauna/Steam Room, Storage"	1					
1703 4118 Dawson Street	"$549,000"	1	1	Built in 2006 (14 yrs old)	"$1,563"	$288	Burnaby North	Brentwood Park	Apt/Condo	Freehold Strata	Inside Unit	R2523861	Tiffany Chen PREC*	Pacific Evergreen Realty Ltd.	Jane Lei	Pacific Evergreen Realty Ltd.	13 Days on REW	"Central Location, Recreation Nearby, Shopping Nearby"	Washer/Dryer/Fridge/Stove/Dishwasher	"Exercise Centre, Sauna/Steam Room, Storage, Swirlpool/Hot Tub"	1						
4703 1955 Alpha Way	"$645,000"	1	1	Built in 2020 (0 yrs old)	$0	$302	Burnaby North	Brentwood Park	Apt/Condo	Freehold Strata	1 Storey	R2523584	Garrett Wong PREC*	RE/MAX Crest Realty	14 Days on REW	"Oven - Built In, Smoke Alarm, Sprinkler - Fire"	"Central Location, Shopping Nearby"	"Microwave, Washer/Dryer/Fridge/Stove/Dishwasher"	"Club House, Concierge, Exercise Centre, Guest Suite, In Suite Laundry, Storage"								
502 4380 Halifax Street	"$638,800"	2	2	Built in 2004 (16 yrs old)	"$1,677"	$329	Burnaby North	Brentwood Park	Apt/Condo	Freehold Strata	"Inside Unit,Upper Unit"	R2523497	Deborah Christie	RE/MAX All Points Realty	Jennifer Christie	RE/MAX All Points Realty	14 Days on REW	"Central Location, Recreation Nearby, Shopping Nearby"	Washer/Dryer/Fridge/Stove/Dishwasher	"Elevator, Exercise Centre, In Suite Laundry, Storage, Wheelchair Access"	1						
