8666 Bowcock Road,"$3,000,000",6,5,68 ft x 160 ft (10979 ft²),Built in 1995 (25 yrs old),"$7,329",Garden City,House,Freehold NonStrata,2 Storey,160,68.61 feet,R2524584,Jade Shen PREC*,Royal Pacific Realty Corp.,5 Days on REW,"Central Location, Drapes/window Coverings, Garage Door Opener","Recreation Nearby, Shopping Nearby",Washer/Dryer/Fridge/Stove/Dishwasher,1,,,,,,
9400 Mcburney Drive,"$1,525,000",4,3,39 ft x 108 ft (4274 ft²),Built in 1983 (37 yrs old),"$3,776",Garden City,House,Freehold NonStrata,2 Storey,108,39.60 feet,R2523798,Samuel Mao PREC*,Park Georgia Realty Ltd.,13 Days on REW,Washer/Dryer/Fridge/Stove/Dishwasher,2,,,,,,,,
8211 Luton Road,"$3,680,000",6,7,92 ft x 124 ft (11471 ft²),Built in 2013 (7 yrs old),"$10,209",Garden City,House,Freehold NonStrata,2 Storey,Heat Recovery Ventilator,124,92.50 feet,R2516921,Raymond Rong PREC*,Macdonald Realty Westmar,46 Days on REW,"Air Conditioning, Garage Door Opener, Heat Recovery Ventilator, Intercom, Oven - Built In, Pantry, Private Yard, Security System, Sprinkler - Fire",Shopping Nearby,"Microwave, Washer/Dryer/Fridge/Stove/Dishwasher",2,Yes,,,,
6 7695 St. Albans Road,"$1,199,000",4,3,Built in 1991 (29 yrs old),"$3,057",$267,Garden City,Townhouse,Freehold Strata,2 Storey,R2506371,Ally Teng PREC*,Macdonald Realty Westmar,82 Days on REW,"Central Location, Gated Complex",In Suite Laundry,1,,,,,,,,,
8131 Lundy Road,"$3,380,000",5,6,66 ft x 141 ft (9320 ft²),Built in 2013 (7 yrs old),"$8,879",Garden City,House,Freehold NonStrata,2 Storey,Heat Recovery Ventilator,141,66.00 feet,R2501621,Ron Yu,Royal Pacific Realty Corp.,96 Days on REW,"Air Conditioning, Central Location, Garage Door Opener, Heat Recovery Ventilator, Private Yard, Security System, Vacuum - Built In",Shopping Nearby,Washer/Dryer/Fridge/Stove/Dishwasher,2,Yes,,,,
5 7800 Heather Street,"$699,000",2,3,Built in 2003 (17 yrs old),"$1,957",$297,Garden City,Townhouse,Freehold Strata,2 Storey,R2492093,Kelly Liu,Macdonald Realty Westmar,122 Days on REW,Washer/Dryer/Fridge/Stove/Dishwasher,,,,,,,,,,,
8411 Bowcock Road,"$2,480,000",4,5,66 ft x 163 ft (10753 ft²),Built in 1994 (26 yrs old),"$6,941",Garden City,House,Freehold NonStrata,2 Storey,163,66.00 feet,R2487579,Harry Li,Multiple Realty Ltd.,131 Days on REW,"Garage Door Opener, Intercom, Pantry, Security System, Smoke Alarm, Vacuum - Built In","Clothes Washer/Dryer, Disposal - Waste, Microwave, Stove",3,,,,,,,
8180 Lurgan Road,"$2,100,000",7,5,67 ft x 119 ft (8019 ft²),Built in 1961 (59 yrs old),"$5,852",Garden City,House,Freehold NonStrata,2 Storey,119,67.00 feet,R2484320,Powers Guo PREC*,RE/MAX Westcoast,143 Days on REW,Drapes/window Coverings,Washer/Dryer/Fridge/Stove/Dishwasher,2,,,,,,,
8100 No. 3 Road,"$2,199,900",5,3,64 ft x 140 ft (8998 ft²),Built in 1960 (60 yrs old),"$5,216",Garden City,House,Freehold NonStrata,2 Storey,140.6,64.00 feet,R2479194,Jason Lai PREC*,Rennie & Associates Realty Ltd.,Nick Yeung,Rennie & Associates Realty Ltd.,158 Days on REW,1,,,,,,,
8080 No. 3 Road,"$2,199,900",8,3,64 ft x 140 ft (8998 ft²),Built in 1932 (88 yrs old),"$5,222",Garden City,House,Freehold NonStrata,3 Storey,140.6,64.00 feet,R2479042,Jason Lai PREC*,Rennie & Associates Realty Ltd.,Nick Yeung,Rennie & Associates Realty Ltd.,158 Days on REW,1,,,,,,,
