address,price,bedrooms,bath,lot_size,property_age,gross_tax_for_2020,area,Sub-Area/Community,Property_Type,title,style,heating_type,Depth,frontage
112 E 62nd Avenue,239800,6.0,6.0,3809,5,5972,Vancouver East,South Vancouver,House,Freehold NonStrata,"2 Storey w/Bsmt.,Basement Entry",Heat Recovery Ventilator,115.45,33.00 feet
1348 E 61st Avenue,169800,5.0,4.0,3795,23,5964,Vancouver East,South Vancouver,House,Freehold NonStrata,2 Storey,115,33.00 feet,R2512922
1032 E 61st Avenue,159888,4.0,5.0,4026,47,6103,Vancouver East,South Vancouver,House,Freehold NonStrata,2 Storey,122,33.00 feet,R2510043
6653 Main Street,290000,2.0,4.0,3850,61,9285,Vancouver East,South Vancouver,House,Freehold NonStrata,2 Storey,110,35.00 feet,R2508595
6879 Fraser Street,220000,5.0,1.0,3729,73,4803,Vancouver East,South Vancouver,House,Freehold NonStrata,Rancher/Bungalow w/Bsmt.,113,33.00 feet,R2497251
6891 Fraser Street,220000,4.0,2.0,3729,74,4867,Vancouver East,South Vancouver,House,Freehold NonStrata,Rancher/Bungalow w/Bsmt.,113,33.00 feet,R2497253
6867 Fraser Street,220000,5.0,1.0,3729,73,4803,Vancouver East,South Vancouver,House,Freehold NonStrata,"2 Storey,Rancher/Bungalow",113,33.00 feet,R2497252
135 E 62nd Avenue,184990,6.0,4.0,3056,13,5839,Vancouver East,South Vancouver,House,Freehold NonStrata,3 Storey,115.58,26.44 feet,R2495975
328 E 49th Avenue,179988,5.0,3.0,3936,38,5322,Vancouver East,South Vancouver,House,Freehold NonStrata,"2 Storey,Basement Entry",123,32.00 feet,R2493065
626 E 62nd Avenue,179800,6.0,4.0,4620,36,5997,Vancouver East,South Vancouver,House,Freehold NonStrata,2 Storey,132,35.00 feet,R2490831
585 E 52nd Avenue,320000,8.0,7.0,8852,31,8157,Vancouver East,South Vancouver,House,Freehold NonStrata,"2 Storey w/Bsmt.,Basement Entry",122,72.55 feet,R2486145
769 E 62nd Avenue,159800,6.0,3.0,4026,52,5111,Vancouver East,South Vancouver,House,Freehold NonStrata,2 Storey,122,33.00 feet,R2481361
7316 Culloden Street,144900,6.0,5.0,4347,67,5548,Vancouver East,South Vancouver,House,Freehold NonStrata,2 Storey,105,41.40 feet,R2461437
454 E 63rd Avenue,200000,7.0,4.0,6478,45,6373,Vancouver East,South Vancouver,House,Freehold NonStrata,2 Storey w/Bsmt.,145.38,44.56 feet,R2445681
350 E 61st Avenue,149888,4.0,4.0,3279,55,4497,Vancouver East,South Vancouver,House,Freehold NonStrata,2 Storey,99.35,33.00 feet,R2435290
2218 E 38th Avenue,178000,7.0,3.0,5640,108,6316,Vancouver East,Victoria East,House,Freehold NonStrata,3 Storey,141,40.00 feet,R2521158
4140 Gladstone Street,328800,10.0,7.0,6994,0,7243,Vancouver East,Victoria East,House,Freehold NonStrata,2 Storey w/Bsmt.,139.87,50.00 feet,R2520968
1896 E 40th Avenue,178000,6.0,6.0,4512,59,5553,Vancouver East,Victoria East,House,Freehold NonStrata,2 Storey,137,33.00 feet,R2517069
1635 E 21st Avenue,319980,4.0,3.0,6039,97,6431,Vancouver East,Victoria East,House,Freehold NonStrata,3 Storey,122,49.50 feet,R2513481
1885 E 35th Avenue,283800,10.0,8.0,4594,4,6125,Vancouver East,Victoria East,House,Freehold NonStrata,"2 Storey w/Bsmt.,Laneway House",127.61,36.00 feet,R2484823
4665 Baldwin Street,169800,5.0,2.0,4837,53,5105,Vancouver East,Victoria East,House,Freehold NonStrata,2 Storey,118,62.00 feet,R2440227
